"FullName","Length","IsEmpty","LastWriteTime"
"C:\dev\Compliance\apps\campaign_compliance\.next\static\css\app\layout.css","18100","False","1/28/2026 6:57:57 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\static\development\_buildManifest.js","161","False","1/28/2026 6:58:04 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\static\development\_ssgManifest.js","76","False","1/28/2026 6:58:04 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\static\media\4473ecc91f70f139-s.p.woff","66268","False","1/28/2026 6:57:57 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\static\media\463dafcda517f24f-s.p.woff","67864","False","1/28/2026 6:57:57 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\static\webpack\008ff2e47c9ae001.webpack.hot-update.json","31","False","1/28/2026 6:58:04 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\static\webpack\0ae4cb2bfddc532b.webpack.hot-update.json","31","False","1/28/2026 6:58:03 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\static\webpack\4f1a4cecc748ae8c.webpack.hot-update.json","31","False","1/28/2026 6:58:01 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\static\webpack\5752c96265e1f0ed.webpack.hot-update.json","44","False","1/28/2026 6:57:57 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\static\webpack\633457081244afec._.hot-update.json","22","False","1/28/2026 6:57:57 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\static\webpack\app\layout.5752c96265e1f0ed.hot-update.js","1591","False","1/28/2026 6:57:57 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\static\webpack\webpack.008ff2e47c9ae001.hot-update.js","858","False","1/28/2026 6:58:04 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\static\webpack\webpack.0ae4cb2bfddc532b.hot-update.js","858","False","1/28/2026 6:58:03 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\static\webpack\webpack.4f1a4cecc748ae8c.hot-update.js","858","False","1/28/2026 6:58:01 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\static\webpack\webpack.5752c96265e1f0ed.hot-update.js","858","False","1/28/2026 6:57:57 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\trace","90856","False","1/28/2026 6:58:05 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\types\app\contributions\page.ts","3522","False","1/28/2026 6:58:05 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\types\app\imports\fundraising\page.ts","3546","False","1/28/2026 6:58:05 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\types\app\layout.ts","3486","False","1/28/2026 6:58:05 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\types\app\page.ts","3474","False","1/28/2026 6:58:05 PM"
"C:\dev\Compliance\apps\campaign_compliance\.next\types\package.json","18","False","1/28/2026 6:58:05 PM"
"C:\dev\Compliance\apps\campaign_compliance\app\api\contacts\route.ts","652","False","1/28/2026 9:41:48 PM"
"C:\dev\Compliance\apps\campaign_compliance\app\api\expenses\[id]\route.ts","0","True","1/28/2026 9:56:32 PM"
"C:\dev\Compliance\apps\campaign_compliance\app\api\expenses\route.ts","665","False","1/28/2026 9:41:55 PM"
"C:\dev\Compliance\apps\campaign_compliance\app\contributions\page.tsx","270","False","1/28/2026 6:49:23 PM"
"C:\dev\Compliance\apps\campaign_compliance\app\favicon.ico","25931","False","1/28/2026 2:54:02 PM"
"C:\dev\Compliance\apps\campaign_compliance\app\fonts\GeistMonoVF.woff","67864","False","1/28/2026 2:54:02 PM"
"C:\dev\Compliance\apps\campaign_compliance\app\fonts\GeistVF.woff","66268","False","1/28/2026 2:54:02 PM"
"C:\dev\Compliance\apps\campaign_compliance\app\globals.css","413","False","1/28/2026 2:54:02 PM"
"C:\dev\Compliance\apps\campaign_compliance\app\layout.tsx","824","False","1/28/2026 6:55:43 PM"
"C:\dev\Compliance\apps\campaign_compliance\app\page.tsx","2483","False","1/28/2026 6:56:00 PM"
"C:\dev\Compliance\apps\campaign_compliance\components\NavBar.tsx","1105","False","1/28/2026 6:01:21 PM"
"C:\dev\Compliance\apps\campaign_compliance\components\PageShell.tsx","286","False","1/28/2026 6:46:35 PM"
"C:\dev\Compliance\apps\campaign_compliance\lib\__tests__\travelCommit.test.ts","507","False","1/28/2026 9:42:06 PM"
"C:\dev\Compliance\apps\campaign_compliance\lib\dropdowns.ts","791","False","1/28/2026 9:39:34 PM"
"C:\dev\Compliance\apps\campaign_compliance\lib\env.ts","1286","False","1/28/2026 8:16:34 PM"
"C:\dev\Compliance\apps\campaign_compliance\lib\prisma.ts","905","False","1/28/2026 8:15:55 PM"
"C:\dev\Compliance\apps\campaign_compliance\lib\sos-schema.ts","1956","False","1/28/2026 9:40:22 PM"
"C:\dev\Compliance\apps\campaign_compliance\lib\validators.ts","520","False","1/28/2026 9:40:53 PM"
"C:\dev\Compliance\apps\campaign_compliance\lib\validators\contributions.ts","518","False","1/28/2026 9:41:32 PM"
"C:\dev\Compliance\apps\campaign_compliance\next-env.d.ts","228","False","1/28/2026 2:54:02 PM"
"C:\dev\Compliance\apps\campaign_compliance\next.config.mjs","92","False","1/28/2026 2:54:02 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\acorn","379","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\acorn.cmd","320","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\acorn.ps1","785","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\crc32","389","False","1/28/2026 7:03:00 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\crc32.cmd","325","False","1/28/2026 7:03:00 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\crc32.ps1","805","False","1/28/2026 7:03:00 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\cssesc","383","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\cssesc.cmd","322","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\cssesc.ps1","793","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\eslint","389","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\eslint.cmd","325","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\eslint.ps1","805","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\glob","391","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\glob.cmd","326","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\glob.ps1","809","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\jiti","381","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\jiti.cmd","321","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\jiti.ps1","789","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\js-yaml","393","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\js-yaml.cmd","327","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\js-yaml.ps1","813","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\json5","381","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\json5.cmd","321","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\json5.ps1","789","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\loose-envify","387","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\loose-envify.cmd","324","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\loose-envify.ps1","801","False","1/28/2026 5:44:58 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\.bin\nanoid","391","False","1/28/2026 5:44:59 PM"
